Total routing cost               Time(s)
              1890                 0.002
              1403                 0.012
              1395                 0.040
              1385                 0.053
              1371                 0.065
              1363                 0.106
              1362                 0.109
              1342                 0.207
              1342                 0.808 (FITNESS_EVALUATION::HEURISTIC)
              1342                 0.808 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.811 secs
