Total routing cost               Time(s)
              2165                 0.001
              1522                 0.019
              1521                 0.095
              1494                 0.245
              1417                 0.270
              1353                 0.282
              1352                 0.494
              1335                 0.542
              1327                 0.577
              1315                 0.601
              1304                 3.334
              1304                 6.114 (FITNESS_EVALUATION::HEURISTIC)
              1304                 6.115 (FITNESS_EVALUATION::EXACT)

Total runtime:                 6.117 secs
