Total routing cost               Time(s)
              1949                 0.001
              1319                 0.024
              1280                 0.059
              1264                 0.106
              1211                 0.133
              1183                 0.288
              1172                 0.564
              1161                 0.719
              1155                 0.830
              1143                 1.308
              1142                 1.320
              1090                 1.614
              1082                 1.637
              1080                 1.765
              1056                 1.834
              1047                 2.233
              1044                 3.904
              1044                 7.317 (FITNESS_EVALUATION::HEURISTIC)
              1044                 7.318 (FITNESS_EVALUATION::EXACT)

Total runtime:                 7.321 secs
