Total routing cost               Time(s)
              1881                 0.001
              1417                 0.010
              1363                 0.015
              1360                 0.053
              1347                 0.073
              1346                 0.082
              1341                 0.092
              1335                 0.106
              1324                 0.112
              1315                 0.128
              1311                 0.170
              1302                 0.330
              1300                 0.388
              1295                 0.419
              1293                 0.563
              1293                 1.154 (FITNESS_EVALUATION::HEURISTIC)
              1293                 1.155 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.157 secs
