Total routing cost               Time(s)
              1841                 0.001
              1251                 0.023
              1224                 0.077
              1200                 0.126
              1198                 0.244
              1192                 0.303
              1080                 1.283
              1079                 1.618
              1064                 1.638
              1063                 1.739
              1060                 1.933
              1053                 2.078
              1046                 2.196
              1044                 2.397
              1039                 5.452
              1021                 6.643
              1021                 9.999 (FITNESS_EVALUATION::HEURISTIC)
              1021                10.000 (FITNESS_EVALUATION::EXACT)

Total runtime:                10.002 secs
