Total routing cost               Time(s)
              1919                 0.001
              1267                 0.012
              1251                 0.027
              1246                 0.057
              1241                 0.065
              1195                 0.092
              1148                 0.099
              1140                 0.828
              1135                 0.896
              1130                 1.441
              1130                 2.869 (FITNESS_EVALUATION::HEURISTIC)
              1130                 2.869 (FITNESS_EVALUATION::EXACT)

Total runtime:                 2.873 secs
