Total routing cost               Time(s)
              2269                 0.001
              1400                 0.026
              1389                 0.036
              1377                 0.332
              1334                 1.088
              1280                 1.126
              1271                 1.672
              1265                 2.224
              1264                 2.371
              1264                 5.087 (FITNESS_EVALUATION::HEURISTIC)
              1264                 5.088 (FITNESS_EVALUATION::EXACT)

Total runtime:                 5.089 secs
