Total routing cost               Time(s)
              1926                 0.001
              1281                 0.015
              1270                 0.026
              1261                 0.041
              1230                 0.056
              1224                 0.101
              1200                 0.187
              1200                 1.655 (FITNESS_EVALUATION::HEURISTIC)
              1200                 1.655 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.657 secs
