Total routing cost               Time(s)
              1887                 0.001
              1447                 0.004
              1425                 0.010
              1421                 0.012
              1391                 0.015
              1366                 0.021
              1363                 0.033
              1340                 0.036
              1335                 0.121
              1324                 0.171
              1323                 0.182
              1323                 0.552 (FITNESS_EVALUATION::HEURISTIC)
              1323                 0.552 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.557 secs
