Total routing cost               Time(s)
              1786                 0.001
              1251                 0.023
              1247                 0.035
              1214                 0.069
              1158                 0.184
              1154                 0.210
              1148                 0.223
              1138                 0.366
              1123                 0.450
              1119                 0.808
              1117                 0.820
              1114                 0.991
              1113                 1.062
              1110                 1.156
              1078                 3.239
              1043                 3.264
              1043                 5.392 (FITNESS_EVALUATION::HEURISTIC)
              1043                 5.393 (FITNESS_EVALUATION::EXACT)

Total runtime:                 5.407 secs
