Total routing cost               Time(s)
              1949                 0.001
              1341                 0.009
              1334                 0.042
              1321                 0.046
              1302                 0.059
              1289                 0.064
              1274                 0.096
              1268                 0.160
              1262                 0.173
              1261                 0.187
              1261                 0.825 (FITNESS_EVALUATION::HEURISTIC)
              1261                 0.826 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.828 secs
