Total routing cost               Time(s)
              1790                 0.033
              1219                 0.038
              1210                 0.045
              1196                 0.056
              1192                 0.062
              1190                 0.078
              1179                 0.149
              1176                 0.162
              1174                 0.226
              1156                 0.239
              1147                 0.683
              1147                 1.152 (FITNESS_EVALUATION::HEURISTIC)
              1147                 1.152 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.155 secs
