Total routing cost               Time(s)
              1794                 0.001
              1217                 0.053
              1211                 0.216
              1204                 0.588
              1200                 0.634
              1195                 0.726
              1182                 0.877
              1129                 0.947
              1112                 1.164
              1111                 2.213
              1108                 2.287
              1099                 2.598
              1091                 2.648
              1088                 3.809
              1080                 4.327
              1080                13.104 (FITNESS_EVALUATION::HEURISTIC)
              1080                13.109 (FITNESS_EVALUATION::EXACT)

Total runtime:                13.115 secs
