Total routing cost               Time(s)
              1831                 0.001
              1230                 0.019
              1220                 0.042
              1210                 0.118
              1191                 0.140
              1181                 0.153
              1174                 0.180
              1174                 1.315 (FITNESS_EVALUATION::HEURISTIC)
              1174                 1.315 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.318 secs
